occurrenceID,type,basisOfRecord,occurrenceRemarks,individualCount,sex,lifeStage,behavior,occurrenceStatus,organismID,eventID,samplingProtocol,eventDate,eventRemarks,locationID,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationRemarks,identificationVerificationStatus,taxonID,scientificName,kingdom
e86ee6ff-084b-4d5b-afdb-eec9f66a8cda,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-09T03:06:33Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:33:39Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
e8ace302-a292-4b68-8fcf-fab0b84dc01d,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-10T02:44:32Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:38:05Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
eabec402-ef28-4a8a-ba22-e7b4e48259fc,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-16T20:31:30Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T10:09:30Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
eb707ab6-f5bf-47b2-873f-0065f5d7f5ff,Event,MachineObservation,,1,,,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-07-01T21:26:25Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:23:47Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
ec06b816-414d-4e45-93c5-57583d01012f,Event,MachineObservation,,2,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-04T02:11:05Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T08:53:56Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
ec11d292-5812-4b0f-b1b3-3fbda1bf7759,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-07-03T20:57:33Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:31:27Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
ec8831f6-4d52-484e-a1cd-a572bf0be3c3,Event,MachineObservation,,4,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-29T03:21:26Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:18:49Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
ecd10270-0679-456e-ae76-4c92eb573dda,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-05T20:24:26Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:17:37Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
f0cc885b-2c86-4cfd-9f3b-0eb8c7f48a9a,Event,MachineObservation,,4,undefined,subadult,,present,,fff2f46e-8163-453c-9044-61fb77587f5d,"camera trap (motion detection)",2020-06-05T20:24:17Z,"tags: boven de stroom",7c989f1e-4fcb-4584-ae47-cdcdc6e34d06,"B_ML_val 07_Sint-Anna",,51.279,3.634,WGS84,"Jan Lodewijkx",2020-07-09T07:09:47Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
f4c310da-27c3-4865-bacc-4f3b9f3ede82,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-08T20:07:47Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:29:25Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
f56c35fe-4832-4976-b7ed-94d86283bc67,Event,MachineObservation,,2,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-18T21:07:48Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T10:18:01Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
f58f3d8d-6a56-44b6-8d77-0380d1517184,Event,MachineObservation,,1,,undefined,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-10T02:47:04Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:38:15Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
f5cc5f21-06de-4487-bc8d-444417101661,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-14T20:58:31Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:57:29Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
f6a8e0ba-c5a7-401a-afd3-8b05e9c08c08,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-20T20:55:12Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T10:25:12Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
